sr_no,state,mp,constituency,allocated_amount,work_id_canonical,work_id_status,house,source_file,elected_nominated
41,Kerala,Anto Antony,PATHANAMTHITTA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
42,Maharashtra,ANUP SANJAY DHOTRE,AKOLA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
43,Uttar Pradesh,Anurag Sharma,JHANSI,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
44,Himachal Pradesh,Anurag Singh Thakur,HAMIRPUR_HP,149570117.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
45,Andhra Pradesh,Appalanaidu Kalisetti,VIZIANAGARAM,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
46,Bihar,ARUN BHARTI,JAMUI(SC),194924621.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
47,Uttar Pradesh,ARUN GOVIL,MEERUT,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
48,Tamil Nadu,ARUN NEHRU,PERAMBALUR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
49,Telangana,ARUNA. D. K,MAHABUBNAGAR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
50,West Bengal,ARUP CHAKRABORTY,BANKURA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
51,Telangana,Arvind Dharmapuri,NIZAMABAD,281396355.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
52,Maharashtra,Arvind Ganpat Sawant,MUMBAI SOUTH,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
53,Telangana,Asaduddin Owaisi,HYDERABAD,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
54,Madhya Pradesh,ASHISH DUBEY,JABALPUR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
55,Uttar Pradesh,Ashok Kumar Rawat,MISRIKH(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
56,Bihar,Ashok Kumar Yadav,MADHUBANI,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
57,West Bengal,Asit Kumar Mal,BOLPUR(SC),275694456.74,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
58,Uttar Pradesh,ATUL GARG,GHAZIABAD,155336470.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
59,Odisha,AVIMANYU SETHI,BHADRAK(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
60,Uttar Pradesh,AWADHESH PRASAD,FAIZABAD,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
61,West Bengal,AZAD KIRTI JHA,BARDHAMAN-DURGAPUR,179658399.98,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
62,Andhra Pradesh,B K PARTHASARATHI,HINDUPUR,160491894.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
63,Uttar Pradesh,BABU SINGH KUSHWAHA,JAUNPUR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
64,Maharashtra,BACHHAV SHOBHA DINESH,DHULE,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
65,West Bengal,BAG MITALI,ARAMBAG(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
66,Odisha,BAIJAYANT PANDA,KENDRAPARA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
67,Maharashtra,BAJRANG MANOHAR SONWANE,BEED,165899107.19,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
68,Odisha,BALABHADRA MAJHI,NABARANGPUR(ST),147413962.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
69,Andhra Pradesh,Balashowry Vallabbhaneni,MACHILIPATNAM,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
70,Telangana,BALRAM NAIK PORIKA,MAHABUBABAD,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
71,Maharashtra,BALWANT BASWANT WANKHADE,AMRAVATI(SC),198293678.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
72,Maharashtra,BALYA MAMA SURESH GOPINATH MHATRE,BHIWANDI,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
73,Delhi,Bansuri Swaraj,NEW DELHI,154306950.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
74,West Bengal,BAPI HALDAR,MATHURAPUR(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
75,Karnataka,BASAVARAJ BOMMAI,HAVERI,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
76,Andhra Pradesh,BASTIPATI NAGARAJU PANCHALINGALA,KURNOOL,159998515.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
77,Rajasthan,Bhagirath Chaudhary,AJMER,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
