sr_no,state,mp,constituency,allocated_amount,work_id_canonical,work_id_status,house,source_file,elected_nominated
168,Telangana,EATALA RAJENDER,MALKAJGIRI,327477390.86,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
169,Tamil Nadu,ESWARASAMY K,POLLACHI,162315106.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
170,Madhya Pradesh,Faggan Singh Kulaste,MANDLA(ST),151861648.41,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
171,Karnataka,G. KUMAR NAIK,RAICHUR(ST),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
172,Maharashtra,GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
173,Madhya Pradesh,Gajendra Singh Patel,KHARGONE(ST),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
174,Rajasthan,Gajendra Singh Shekhawat,JODHPUR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
175,Tamil Nadu,GANAPATHY RAJKUMAR P,COIMBATORE,147370490.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
176,Tamil Nadu,Ganesan Selvam,KANCHEEPURAM(SC),186508749.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
177,Madhya Pradesh,Ganesh Singh,SATNA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
178,Assam,GAURAV GOGOI,JORHAT,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
179,Gujarat,GENIBEN NAGAJI THAKOR,BANASKANTHA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
180,Bihar,Giridhari Yadav,BANKA,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
181,Bihar,Giriraj Singh,BEGUSARAI,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
182,Andhra Pradesh,GM Harish Balayogi,AMALAPURAM(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
183,Telangana,GODAM NAGESH,ADILABAD(ST),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
184,Tamil Nadu,GOPINATH K,KRISHNAGIRI,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
185,Karnataka,GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
186,Andhra Pradesh,Gumma Thanuja Rani,ARAKU(ST),149458905.11,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
187,Punjab,GURMEET SINGH MEET HAYER,SANGRUR,147000000.0,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
188,Madhya Pradesh,Gyaneshwar Patil,KHANDWA,155690684.77,,missing,LS,LS_Allocated_Limit_for_Honble_MPs.csv,
