"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"581","Normal/Others","WS/MP643/2024-2025/135915-Purchase Books for Library","Madhya Pradesh","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","KHANDWA","Purchase of books for students intellectual development at various schools of Burhanpur district","16-Aug-2024","100000","16-Dec-2024"
"582","Normal/Others","WS/MP643/2024-2025/135916-Purchase Books for Library","Madhya Pradesh","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","KHANDWA","Purchase of books for students intellectual development at various schools of Burhanpur district","16-Aug-2024","100000","16-Dec-2024"
"583","Normal/Others","WS/MP643/2024-2025/135917-Purchase Books for Library","Madhya Pradesh","BURHANPUR(District Collector Burhanpur_IDA)","Gyaneshwar Patil","KHANDWA","Purchase of books for students intellectual development at various schools of Burhanpur district","16-Aug-2024","100000","16-Dec-2024"
"584","Normal/Others","WS/MP18199/2024-2025/135918-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","AMBEDKAR NAGAR","HAIDAR GANJ FULAUNA MARG PAR PACHGAWAN PATEL NAGAR SE BANDHAN PURWA TAK KHADAJA KARYA DURI 420M","16-Aug-2024","768457","30-Sep-2024"
"585","Normal/Others","WS/MP18199/2024-2025/135919-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","AMBEDKAR NAGAR","GRAM SABHA KAKOLI DIHWA ME PAKKI SADAK MEWALAL VERMA KHET SE RANJEET VERMA KE GHAR TAK CC KARYA DURI 170M","16-Aug-2024","990946","30-Sep-2024"
"586","Normal/Others","WS/MP18199/2024-2025/135921-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA)","LALJI VERMA","AMBEDKAR NAGAR","TARAPUR KHADANJA SE VEDA PUR BORDAR TAK KHADANJA KARYA DURI 180M","16-Aug-2024","395772","30-Sep-2024"
"587","Normal/Others","WS/MP18199/2024-2025/135923-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","AMBEDKAR NAGAR","HILALPUR VISHNU KE GHA SE HAR DAYAL KE GHAR TAK CC KARYA DURI 140M","16-Aug-2024","997443","28-Sep-2024"
"588","Normal/Others","WS/MP18199/2024-2025/135924-Providing drains and gutters for public drainage","Uttar Pradesh","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","AMBEDKAR NAGAR","GRAM PANCHAYAT MUKUNDPUR ME KOLHUWA MAJARE SHRI VINOD VERMA KE GHAR SE GUDAIYA TALAB TAK NALI NIRMAN KARYA DURI 225M","16-Aug-2024","1046028","28-Sep-2024"
"589","Normal/Others","WS/MP18065/2024-2025/135925-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","Const./Comp. of Ambedkar Bhawan","16-Aug-2024","1097821","31-Dec-2024"
"590","Normal/Others","WS/MP18199/2024-2025/135927-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","AMBEDKAR NAGAR","BAHORIKPUR SABANA PICH MARG SE RAM CHANDAR YADAV ENT BHATTA TAK KHADANJA KARYA DURI 400M","16-Aug-2024","817011","28-Sep-2024"
"591","Normal/Others","WS/MP18199/2024-2025/135928-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","AMBEDKAR NAGAR","PRATAVIPUR-SRAVAN CHHETRA PICH MARG SE BAHORIKPUR SARHAD TAK MITTI AND KHADANJA KARYA DURI 600M","16-Aug-2024","1344467","28-Sep-2024"
"592","Normal/Others","WS/MP18199/2024-2025/135929-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","AMBEDKAR NAGAR","RAM NAGAR JAMDARA HAMID KE GHAR SE AAS MOHAMMAD KE KHET TAK CC KARYA DURI 150M","16-Aug-2024","982828","28-Sep-2024"
"593","Normal/Others","WS/MP18199/2024-2025/135932-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","AMBEDKAR NAGAR(DISTRICT MAGISTRATE AMBEDKAR NAGAR_IDA)","LALJI VERMA","AMBEDKAR NAGAR","GRAM SARANGPUR BALINWA RAJAITRAM SHARMA KE GHAR SE SHIVRAM VERMA KE GHAR TAK INTERLOCKING KARYA 70M","16-Aug-2024","334853","28-Sep-2024"
"594","Normal/Others","WS/MP552/2024-2025/135975-Fitting of Sitting RCC Benches in Public Places","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Radha Mohan Singh","PURVI CHAMPARAN","MOTIHARI NAGAR NIGAM KSHETRA KE BENGALI BHAIYON KE COLONY ME PUBLIC PLACE PAR RCC BENCHO KA NIRMAN EWAM ADHISHTHAPAN KARYA.","17-Aug-2024","1250000","26-Sep-2024"
"595","Normal/Others","WS/MP552/2024-2025/135976-Fitting of Sitting RCC Benches in Public Places","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Radha Mohan Singh","PURVI CHAMPARAN","MOTIHARI NAGAR NIGAM KSHETRA KE VIBHIN  PUBLIC PLACE PAR RCC BENCHO KA NIRMAN EWAM ADHISHTHAPAN KARYA.","17-Aug-2024","1483462","26-Sep-2024"
"596","Normal/Others","WS/MP552/2024-2025/135978-Development of public parks","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Radha Mohan Singh","PURVI CHAMPARAN","MOTIHARI NAGAR KE LUMBINI BHAWAN KE PICCHE BUDDH VIHAR PARISAR KA NIRMAN.","17-Aug-2024","1493970","11-Sep-2024"
"597","Normal/Others","WS/MP552/2024-2025/135979-Development of public parks","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Radha Mohan Singh","PURVI CHAMPARAN","MOTIHARI NAGAR KE LUMBINI BHAWAN KE PICCHE BUDDH VIHAR PARISAR ME CHABUTARA KA NIRMAN KARYA.","17-Aug-2024","1495894","11-Sep-2024"
"598","Normal/Others","WS/MP552/2024-2025/135980-Fitting of Sitting RCC Benches in Public Places","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Radha Mohan Singh","PURVI CHAMPARAN","MOTIHARI BLOCK KE  KE BENGALI BHAIYON KE GAANWON  ME PUBLIC PLACE PAR RCC BENCHO KA NIRMAN EWAM ADHISHTHAPAN KARYA.","17-Aug-2024","1483462","26-Sep-2024"
"599","Normal/Others","WS/MP643/2024-2025/135993-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"600","Normal/Others","WS/MP643/2024-2025/135994-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"601","Normal/Others","WS/MP643/2024-2025/135995-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"602","Normal/Others","WS/MP643/2024-2025/135996-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"603","Normal/Others","WS/MP643/2024-2025/135997-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"604","Normal/Others","WS/MP643/2024-2025/135998-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"605","Normal/Others","WS/MP643/2024-2025/135999-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"606","Normal/Others","WS/MP643/2024-2025/136000-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"607","Normal/Others","WS/MP643/2024-2025/136001-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"608","Normal/Others","WS/MP643/2024-2025/136002-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"609","Normal/Others","WS/MP643/2024-2025/136003-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"610","Normal/Others","WS/MP643/2024-2025/136004-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"611","Normal/Others","WS/MP643/2024-2025/136005-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"612","Normal/Others","WS/MP643/2024-2025/136006-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"613","Normal/Others","WS/MP643/2024-2025/136007-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"614","Normal/Others","WS/MP643/2024-2025/136008-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"615","Normal/Others","WS/MP643/2024-2025/136009-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"616","Normal/Others","WS/MP643/2024-2025/136010-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIGH MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"617","Normal/Others","WS/MP643/2024-2025/136011-Lighting of public spaces","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","HIG MASK SOLAR LIGHTS","17-Aug-2024","445200","11-Sep-2024"
"618","Normal/Others","WS/MP643/2024-2025/136017-Purchase of mobile water tankers","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","GI WATER TENKER WITH FIRE FIGHTER 900*16 TYRE INCLUDE","17-Aug-2024","190546","11-Sep-2024"
"619","Normal/Others","WS/MP643/2024-2025/136018-Purchase of mobile water tankers","Madhya Pradesh","Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA)","Gyaneshwar Patil","KHANDWA","GI WATER TENKER WITH FIRE FIGHTER 900*16 TYRE INCLUDE","17-Aug-2024","190546","11-Sep-2024"
