"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3203","Maharashtra","Construction of rooms and halls in school and colleges","WS/MP18286/2025-2026/202720","SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","27-May-2026","CHAIRMAN SHARAD MAJUR SAHAKARI SAMSTHA INCHAGAON","Payment Success","88941"
"3204","Madhya Pradesh","Street lights","WS/MP18297/2025-2026/253158","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","05-Mar-2026","Gram Panchayat Multhan janpad Panchayat badnawar District Dhar","Payment Success","500000"
"3205","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/267412","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","20-Apr-2026","Arshdeep Singh","Payment Success","12950"
"3206","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/267411","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","24-Jun-2026","Arshdeep Singh","Payment Success","24500"
"3207","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/267411","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","24-Jun-2026","Arshdeep Singh","Payment Success","6275"
"3208","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/267411","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","20-May-2026","Arshdeep Singh","Payment Success","14000"
"3209","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP235/2025-2026/267411","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Mar-2026","Arshdeep Singh","Payment Success","5250"
"3210","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/267412","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Mar-2026","Arshdeep Singh","Payment Success","21000"
"3211","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP235/2025-2026/267412","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","18-Feb-2026","Arshdeep Singh","Payment Success","52500"
"3212","Punjab","Renovation of ponds and lakes","WS/MP235/2026-2027/286152","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","11-Aug-2026","Arshdeep Singh","Payment Success","23985"
