work_id,dataset_count,datasets
WS/MP681/2024-2025/143974,2,LS_completed|RS_sanctioned
WS/MP18241/2025-2026/197044,1,LS_completed
WS/MP719/2024-2025/149562,3,LS_completed|LS_expenditure|RS_sanctioned
WS/MP681/2024-2025/143979,2,LS_completed|RS_sanctioned
WS/MP582/2024-2025/147347,2,LS_completed|RS_sanctioned
WS/MP18166/2024-2025/180324,1,LS_completed
WS/MP18182/2025-2026/161282,2,LS_completed|RS_sanctioned
WS/MP18166/2025-2026/180803,1,LS_completed
WS/MP18357/2025-2026/199882,1,LS_completed
WS/MP18357/2025-2026/199890,1,LS_completed
WS/MP18311/2025-2026/183395,1,LS_completed
WS/MP18182/2025-2026/161283,2,LS_completed|RS_sanctioned
WS/MP18345/2025-2026/158333,2,LS_completed|RS_sanctioned
WS/MP18056/2024-2025/144711,2,LS_completed|RS_sanctioned
WS/MP18182/2025-2026/161284,2,LS_completed|RS_sanctioned
WS/MP18040/2025-2026/194824,1,LS_completed
WS/MP18064/2025-2026/167850,1,LS_completed
WS/MP18137/2025-2026/161413,2,LS_completed|RS_sanctioned
WS/MP18367/2025-2026/198245,1,LS_completed
WS/MP18190/2025-2026/169290,1,LS_completed
WS/MP18367/2025-2026/198246,1,LS_completed
WS/MP18367/2025-2026/198247,1,LS_completed
WS/MP18367/2025-2026/198253,1,LS_completed
WS/MP18367/2025-2026/198255,1,LS_completed
WS/MP18367/2025-2026/198256,1,LS_completed
WS/MP18367/2025-2026/198254,1,LS_completed
WS/MP18045/2025-2026/151616,2,LS_completed|RS_sanctioned
WS/MP18367/2025-2026/198257,1,LS_completed
WS/MP18367/2025-2026/198249,1,LS_completed
WS/MP18045/2025-2026/151617,2,LS_completed|RS_sanctioned
WS/MP18059/2025-2026/167151,1,LS_completed
WS/MP18190/2025-2026/169289,1,LS_completed
WS/MP18313/2025-2026/193425,1,LS_completed
WS/MP18045/2025-2026/151618,2,LS_completed|RS_sanctioned
WS/MP18045/2025-2026/151619,2,LS_completed|RS_sanctioned
WS/MP372/2025-2026/185536,1,LS_completed
WS/MP18045/2025-2026/151620,2,LS_completed|RS_sanctioned
WS/MP18049/2025-2026/181643,1,LS_completed
WS/MP578/2025-2026/174327,1,LS_completed
WS/MP18358/2024-2025/166130,1,LS_completed
WS/MP372/2025-2026/185537,1,LS_completed
WS/MP18032/2025-2026/191315,1,LS_completed
WS/MP18056/2025-2026/180036,1,LS_completed
WS/MP18043/2025-2026/198273,1,LS_completed
WS/MP578/2025-2026/174329,1,LS_completed
WS/MP18155/2024-2025/141707,2,LS_completed|RS_sanctioned
WS/MP18056/2025-2026/166314,1,LS_completed
WS/MP18313/2025-2026/201533,1,LS_completed
WS/MP578/2025-2026/176700,1,LS_completed
WS/MP18056/2025-2026/180035,1,LS_completed
WS/MP18394/2024-2025/143009,2,LS_completed|RS_sanctioned
WS/MP18176/2024-2025/142550,2,LS_completed|RS_sanctioned
WS/MP418/2025-2026/206435,1,LS_completed
WS/MP418/2025-2026/206436,1,LS_completed
WS/MP18309/2025-2026/195759,1,LS_completed
WS/MP418/2025-2026/195022,1,LS_completed
WS/MP418/2025-2026/195021,1,LS_completed
WS/MP418/2025-2026/195026,1,LS_completed
WS/MP414/2025-2026/196132,1,LS_completed
WS/MP418/2025-2026/195025,1,LS_completed
WS/MP18335/2025-2026/210223,1,LS_completed
WS/MP18335/2025-2026/210214,1,LS_completed
WS/MP418/2025-2026/195024,1,LS_completed
WS/MP18335/2025-2026/210206,1,LS_completed
WS/MP418/2025-2026/195023,1,LS_completed
WS/MP549/2025-2026/215152,1,LS_completed
WS/MP549/2025-2026/214109,1,LS_completed
WS/MP549/2025-2026/214112,1,LS_completed
WS/MP549/2025-2026/214110,1,LS_completed
WS/MP549/2025-2026/214111,1,LS_completed
WS/MP549/2025-2026/214114,1,LS_completed
WS/MP549/2025-2026/214113,1,LS_completed
WS/MP549/2025-2026/215153,1,LS_completed
WS/MP549/2025-2026/215151,1,LS_completed
WS/MP508/2025-2026/165179,1,LS_completed
WS/MP18200/2025-2026/160333,2,LS_completed|RS_sanctioned
WS/MP18177/2024-2025/168453,1,LS_completed
WS/MP508/2025-2026/189216,1,LS_completed
WS/MP18024/2025-2026/175549,1,LS_completed
WS/MP508/2025-2026/189215,1,LS_completed
WS/MP18024/2025-2026/175550,1,LS_completed
WS/MP18370/2025-2026/199250,1,LS_completed
WS/MP600/2024-2025/158881,2,LS_completed|RS_sanctioned
WS/MP600/2024-2025/148168,2,LS_completed|RS_sanctioned
WS/MP18353/2024-2025/143556,2,LS_completed|RS_sanctioned
WS/MP18048/2025-2026/195606,1,LS_completed
WS/MP18050/2025-2026/179341,1,LS_completed
WS/MP18048/2025-2026/195608,1,LS_completed
WS/MP18156/2025-2026/185310,1,LS_completed
WS/MP18056/2024-2025/141633,2,LS_completed|RS_sanctioned
WS/MP18069/2025-2026/171768,1,LS_completed
WS/MP18069/2025-2026/165822,1,LS_completed
WS/MP18209/2025-2026/145498,2,LS_completed|RS_sanctioned
WS/MP18311/2024-2025/164320,2,LS_completed|RS_sanctioned
WS/MP681/2024-2025/163049,2,LS_completed|RS_sanctioned
WS/MP18253/2025-2026/150568,2,LS_completed|RS_sanctioned
WS/MP18153/2024-2025/183109,1,LS_completed
WS/MP18091/2025-2026/164059,2,LS_completed|RS_sanctioned
WS/MP852/2024-2025/152849,2,LS_completed|RS_sanctioned
WS/MP18152/2025-2026/176293,1,LS_completed
WS/MP18152/2025-2026/176292,1,LS_completed
WS/MP18091/2025-2026/164279,2,LS_completed|RS_sanctioned
WS/MP18014/2024-2025/167421,1,LS_completed
WS/MP18014/2024-2025/167422,1,LS_completed
WS/MP18137/2025-2026/161402,2,LS_completed|RS_sanctioned
WS/MP18160/2025-2026/164405,2,LS_completed|RS_sanctioned
WS/MP18219/2025-2026/194752,1,LS_completed
WS/MP18045/2025-2026/151621,2,LS_completed|RS_sanctioned
